region,region_id
USA,1
Africa_Eastern,2
Africa_Northern,3
Africa_Southern,4
Africa_Western,5
Australia_NZ,6
Brazil,7
Canada,8
Central America and Caribbean,9
Central Asia,10
China,11
EU-12,12
EU-15,13
Europe_Eastern,14
Europe_Non_EU,15
European Free Trade Association,16
India,17
Indonesia,18
Japan,19
Mexico,20
Middle East,21
Pakistan,22
Russia,23
South Africa,24
South America_Northern,25
South America_Southern,26
South Asia,27
South Korea,28
Southeast Asia,29
Taiwan,30
Argentina,31
Colombia,32
AK,33
AL,34
AR,35
AZ,36
CA,37
CO,38
CT,39
DC,40
DE,41
FL,42
GA,43
HI,44
IA,45
ID,46
IL,47
IN,48
KS,49
KY,50
LA,51
MA,52
MD,53
ME,54
MI,55
MN,56
MO,57
MS,58
MT,59
NC,60
ND,61
NE,62
NH,63
NJ,64
NM,65
NV,66
NY,67
OH,68
OK,69
OR,70
PA,71
RI,72
SC,73
SD,74
TN,75
TX,76
UT,77
VA,78
VT,79
WA,80
WI,81
WV,82
WY,83
